k	l	m	KLM
0	0	0	0.000000
0	0	1	1.000000
0	1	0	0.658411
0	1	1	0.341589
0	2	0	0.289281
0	2	1	0.710719
0	3	0	1.000000
0	3	1	0.000000
0	4	0	0.534394
0	4	1	0.465606
0	5	0	0.694664
0	5	1	0.305336
0	6	0	0.710869
0	6	1	0.289131
0	7	0	0.767289
0	7	1	0.232711
0	8	0	0.000000
0	8	1	1.000000
0	9	0	0.000000
0	9	1	1.000000
0	10	0	0.296671
0	10	1	0.703329
0	11	0	1.000000
0	11	1	0.000000
0	12	0	0.435881
0	12	1	0.564119
0	13	0	0.050155
0	13	1	0.949845
0	14	0	0.000046
0	14	1	0.999954
0	15	0	0.000000
0	15	1	1.000000
0	16	0	0.214318
0	16	1	0.785682
0	17	0	1.000000
0	17	1	0.000000
0	18	0	0.589482
0	18	1	0.410518
0	19	0	0.301599
0	19	1	0.698401
1	0	0	1.000000
1	0	1	0.000000
1	1	0	0.674195
1	1	1	0.325805
1	2	0	0.600667
1	2	1	0.399333
1	3	0	0.451078
1	3	1	0.548922
1	4	0	0.450152
1	4	1	0.549848
1	5	0	0.313976
1	5	1	0.686024
1	6	0	0.000000
1	6	1	1.000000
1	7	0	0.810649
1	7	1	0.189351
1	8	0	0.845674
1	8	1	0.154326
1	9	0	0.722392
1	9	1	0.277608
1	10	0	0.307141
1	10	1	0.692859
1	11	0	0.336516
1	11	1	0.663484
1	12	0	0.448870
1	12	1	0.551130
1	13	0	0.200504
1	13	1	0.799496
1	14	0	0.428310
1	14	1	0.571690
1	15	0	0.716130
1	15	1	0.283870
1	16	0	0.547890
1	16	1	0.452110
1	17	0	0.000000
1	17	1	1.000000
1	18	0	0.857083
1	18	1	0.142917
1	19	0	0.776720
1	19	1	0.223280
2	0	0	0.382192
2	0	1	0.617808
2	1	0	0.547361
2	1	1	0.452639
2	2	0	0.768632
2	2	1	0.231368
2	3	0	0.060593
2	3	1	0.939407
2	4	0	0.777699
2	4	1	0.222301
2	5	0	0.323004
2	5	1	0.676996
2	6	0	1.000000
2	6	1	0.000000
2	7	0	0.247838
2	7	1	0.752162
2	8	0	0.756380
2	8	1	0.243620
2	9	0	0.804030
2	9	1	0.195970
2	10	0	1.000000
2	10	1	0.000000
2	11	0	0.319035
2	11	1	0.680965
2	12	0	0.569332
2	12	1	0.430668
2	13	0	0.670300
2	13	1	0.329700
2	14	0	1.000000
2	14	1	0.000000
2	15	0	0.718414
2	15	1	0.281586
2	16	0	0.797401
2	16	1	0.202599
2	17	0	0.536896
2	17	1	0.463104
2	18	0	0.616379
2	18	1	0.383621
2	19	0	0.198623
2	19	1	0.801377

