i	k	etaik
0	0	0.300969
0	1	0.699031
1	0	1.000000
1	1	0.000000
2	0	1.000000
2	1	0.000000
3	0	0.577873
3	1	0.422127
4	0	0.766068
4	1	0.233932
5	0	0.674743
5	1	0.325257
6	0	0.467641
6	1	0.532359
7	0	0.251709
7	1	0.748291
8	0	0.746559
8	1	0.253441
9	0	0.590448
9	1	0.409552
10	0	0.695224
10	1	0.304776
11	0	0.309707
11	1	0.690293
12	0	0.551562
12	1	0.448438
13	0	1.000000
13	1	0.000000
14	0	0.812532
14	1	0.187468
15	0	1.000000
15	1	0.000000
16	0	1.000000
16	1	0.000000
17	0	0.375036
17	1	0.624964
18	0	0.782751
18	1	0.217249
19	0	0.241259
19	1	0.758741
20	0	0.691529
20	1	0.308471
21	0	0.688227
21	1	0.311773
22	0	0.530004
22	1	0.469996
23	0	0.284533
23	1	0.715467
24	0	0.386087
24	1	0.613913
25	0	1.000000
25	1	0.000000
26	0	0.219924
26	1	0.780076
27	0	0.359979
27	1	0.640021
28	0	0.528906
28	1	0.471094
29	0	0.672294
29	1	0.327706
30	0	0.189150
30	1	0.810850
31	0	0.879353
31	1	0.120647
32	0	0.357200
32	1	0.642800
33	0	0.328023
33	1	0.671977
34	0	0.492627
34	1	0.507373
35	0	0.795237
35	1	0.204763
36	0	0.686054
36	1	0.313946
37	0	0.573741
37	1	0.426259
38	0	0.218309
38	1	0.781691
39	0	0.794562
39	1	0.205438
40	0	0.866621
40	1	0.133379
41	0	0.434372
41	1	0.565628
42	0	0.562399
42	1	0.437601
43	0	0.553490
43	1	0.446510
44	0	0.356501
44	1	0.643499
45	0	0.740312
45	1	0.259688
46	0	0.116254
46	1	0.883746
47	0	0.256353
47	1	0.743647
48	0	0.624249
48	1	0.375751
49	0	0.694687
49	1	0.305313
50	0	0.222787
50	1	0.777213
51	0	0.389933
51	1	0.610067
52	0	0.842479
52	1	0.157521
53	0	0.620385
53	1	0.379615
54	0	0.945337
54	1	0.054663
55	0	0.865286
55	1	0.134714
56	0	0.474578
56	1	0.525422
57	0	0.000000
57	1	1.000000
58	0	0.514702
58	1	0.485298
59	0	0.217225
59	1	0.782775
60	0	0.827821
60	1	0.172179
61	0	0.602805
61	1	0.397195
62	0	0.463154
62	1	0.536846
63	0	0.798936
63	1	0.201064
64	0	0.709202
64	1	0.290798
65	0	0.356797
65	1	0.643203
66	0	0.731414
66	1	0.268586
67	0	0.605348
67	1	0.394652
68	0	0.520449
68	1	0.479551
69	0	0.667415
69	1	0.332585
70	0	0.961937
70	1	0.038063
71	0	0.759222
71	1	0.240778
72	0	0.717550
72	1	0.282450
73	0	0.664184
73	1	0.335816
74	0	0.669589
74	1	0.330411
75	0	0.441156
75	1	0.558844
76	0	0.495099
76	1	0.504901
77	0	0.394291
77	1	0.605709
78	0	0.572576
78	1	0.427424
79	0	0.575712
79	1	0.424288
80	0	0.655357
80	1	0.344643
81	0	0.644877
81	1	0.355123
82	0	0.715758
82	1	0.284242
83	0	0.428564
83	1	0.571436
84	0	0.628363
84	1	0.371637
85	0	0.659978
85	1	0.340022
86	0	0.389171
86	1	0.610829
87	0	0.785207
87	1	0.214793
88	0	0.631097
88	1	0.368903
89	0	0.523659
89	1	0.476341
90	0	1.000000
90	1	0.000000
91	0	0.880114
91	1	0.119886
92	0	0.723388
92	1	0.276612
93	0	0.361001
93	1	0.638999
94	0	1.000000
94	1	0.000000
95	0	0.640664
95	1	0.359336
96	0	0.368299
96	1	0.631701
97	0	0.938818
97	1	0.061182
98	0	0.184891
98	1	0.815109
99	0	1.000000
99	1	0.000000
100	0	0.799018
100	1	0.200982
101	0	0.779783
101	1	0.220217
102	0	0.756488
102	1	0.243512
103	0	0.928877
103	1	0.071123
104	0	0.330920
104	1	0.669080
105	0	0.381889
105	1	0.618111
106	0	0.853606
106	1	0.146394
107	0	0.361214
107	1	0.638786
108	0	1.000000
108	1	0.000000
109	0	1.000000
109	1	0.000000
110	0	0.504784
110	1	0.495216
111	0	0.434374
111	1	0.565626
112	0	0.479640
112	1	0.520360
113	0	0.000000
113	1	1.000000
114	0	0.894056
114	1	0.105944
115	0	0.417281
115	1	0.582719
116	0	0.793954
116	1	0.206046
117	0	0.999699
117	1	0.000301
118	0	0.484369
118	1	0.515631
119	0	0.469611
119	1	0.530389
120	0	0.753519
120	1	0.246481
121	0	0.698015
121	1	0.301985
