i	k	etaik
122	0	0.351987
122	1	0.648013
123	0	0.582139
123	1	0.417861
124	0	0.585217
124	1	0.414783
125	0	0.590092
125	1	0.409908
126	0	0.650375
126	1	0.349625
127	0	0.740284
127	1	0.259716
128	0	0.616691
128	1	0.383309
129	0	0.739936
129	1	0.260064
130	0	0.606367
130	1	0.393633
131	0	0.726617
131	1	0.273383
132	0	0.468428
132	1	0.531572
133	0	0.429036
133	1	0.570964
134	0	0.575239
134	1	0.424761
135	0	0.537407
135	1	0.462593
136	0	0.571727
136	1	0.428273
137	0	0.412424
137	1	0.587576
138	0	0.717546
138	1	0.282454
139	0	0.707612
139	1	0.292388
140	0	0.340898
140	1	0.659102
141	0	0.465320
141	1	0.534680
142	0	0.406393
142	1	0.593607
143	0	0.639101
143	1	0.360899
144	0	0.449966
144	1	0.550034
145	0	0.479138
145	1	0.520862
146	0	0.672809
146	1	0.327191
147	0	0.300084
147	1	0.699916
148	0	0.680257
148	1	0.319743
149	0	0.662283
149	1	0.337717
150	0	0.627828
150	1	0.372172
151	0	0.130088
151	1	0.869912
152	0	0.472011
152	1	0.527989
153	0	0.120298
153	1	0.879702
154	0	0.287478
154	1	0.712522
155	0	0.178427
155	1	0.821573
156	0	0.000308
156	1	0.999692
157	0	0.114239
157	1	0.885761
158	0	0.001823
158	1	0.998177
159	0	0.125133
159	1	0.874867
160	0	0.428280
160	1	0.571720
161	0	0.357258
161	1	0.642742
162	0	0.124405
162	1	0.875595
163	0	0.841025
163	1	0.158975
164	0	0.000000
164	1	1.000000
165	0	0.526391
165	1	0.473609
166	0	0.480998
166	1	0.519002
167	0	0.580764
167	1	0.419236
168	0	0.161375
168	1	0.838625
169	0	0.346011
169	1	0.653989
170	0	0.605448
170	1	0.394552
171	0	0.298500
171	1	0.701500
172	0	0.185699
172	1	0.814301
173	0	0.427831
173	1	0.572169
174	0	0.714664
174	1	0.285336
175	0	0.424086
175	1	0.575914
176	0	0.288206
176	1	0.711794
177	0	0.000000
177	1	1.000000
178	0	0.550166
178	1	0.449834
179	0	0.254891
179	1	0.745109
180	0	0.408568
180	1	0.591432
181	0	0.175792
181	1	0.824208
182	0	0.223516
182	1	0.776484
183	0	0.007767
183	1	0.992233
184	0	0.461203
184	1	0.538797
185	0	0.000000
185	1	1.000000
186	0	0.000000
186	1	1.000000
187	0	0.351421
187	1	0.648579
188	0	0.449699
188	1	0.550301
189	0	0.294694
189	1	0.705306
190	0	0.187862
190	1	0.812138
191	0	0.073893
191	1	0.926107
192	0	0.410703
192	1	0.589297
193	0	0.337524
193	1	0.662476
194	0	0.133371
194	1	0.866629
195	0	0.269258
195	1	0.730742
196	0	0.000000
196	1	1.000000
197	0	0.315505
197	1	0.684495
198	0	0.592448
198	1	0.407552
199	0	0.000000
199	1	1.000000

