k	l	m	KLM
1	3	22	0.000000
1	4	0	0.000000
1	4	1	0.000000
1	4	2	0.013407
1	4	3	0.000000
1	4	4	0.000000
1	4	5	0.000000
1	4	6	0.000000
1	4	7	0.000000
1	4	8	0.000000
1	4	9	0.000000
1	4	10	0.000000
1	4	11	0.109748
1	4	12	0.000000
1	4	13	0.038336
1	4	14	0.000000
1	4	15	0.183666
1	4	16	0.000000
1	4	17	0.154180
1	4	18	0.000000
1	4	19	0.039975
1	4	20	0.085229
1	4	21	0.026814
1	4	22	0.101313
1	4	23	0.013407
1	4	24	0.080442
1	4	25	0.000000
1	4	26	0.000000
1	4	27	0.013407
1	4	28	0.013407
1	4	29	0.000000
1	4	30	0.012712
1	4	31	0.000000
1	4	32	0.000000
1	4	33	0.000000
1	4	34	0.087145
1	4	35	0.000000
1	4	36	0.026814
1	4	37	0.000000
1	5	0	0.000000
1	5	1	0.006955
1	5	2	0.000000
1	5	3	0.382500
1	5	4	0.000000
1	5	5	0.013909
1	5	6	0.000000
1	5	7	0.278182
1	5	8	0.032359
1	5	9	0.027818
1	5	10	0.000000
1	5	11	0.000000
1	5	12	0.034773
1	5	13	0.000000
1	5	14	0.000000
1	5	15	0.076500
1	5	16	0.016570
1	5	17	0.074798
1	5	18	0.006955
1	5	19	0.000000
1	5	20	0.000000
1	5	21	0.000000
1	5	22	0.000000
1	5	23	0.000000
1	5	24	0.006955
1	5	25	0.041727
1	6	0	0.000000
1	6	1	0.261904
1	6	2	0.000000
1	6	3	0.006620
1	6	4	0.300426
1	6	5	0.125780
1	6	6	0.000000
1	6	7	0.056485
1	6	8	0.046340
1	6	9	0.182586
1	6	10	0.019860
1	6	11	0.000000
1	6	12	0.000000
1	6	13	0.000000
1	7	0	0.000000
1	7	1	0.000000
1	7	2	0.024485
1	7	3	0.006121
1	7	4	0.000000
1	7	5	0.097940
1	7	6	0.000000
1	7	7	0.000000
1	7	8	0.832494
1	7	9	0.038959
2	0	0	0.000000
2	0	1	0.000000
2	0	2	0.013662
2	0	3	0.000000
2	0	4	0.000000
2	0	5	0.000000
2	0	6	0.107120
2	0	7	0.000000
2	0	8	0.000000
2	0	9	0.000000
2	0	10	0.667236
2	0	11	0.000000
2	0	12	0.185202
2	0	13	0.000000
2	0	14	0.017853
2	0	15	0.008927
2	1	0	0.000000
2	1	1	0.000000
2	1	2	0.017925
2	1	3	0.000000
2	1	4	0.000000
2	1	5	0.000000
2	1	6	0.403302
2	1	7	0.000000
2	1	8	0.000000
2	1	9	0.053774
2	1	10	0.026887
2	1	11	0.000000
2	1	12	0.008962
2	1	13	0.062736
2	1	14	0.000000
2	1	15	0.041037
2	1	16	0.000000
2	1	17	0.206132
2	1	18	0.000000
2	1	19	0.000000
2	1	20	0.000000
2	1	21	0.000000
2	1	22	0.017925
2	1	23	0.000000
2	1	24	0.000000
2	1	25	0.053774
2	1	26	0.098585
2	1	27	0.000000
2	1	28	0.008962
2	2	0	0.000000
2	2	1	0.000000
2	2	2	0.000000
2	2	3	0.045524
2	2	4	0.191200
2	2	5	0.000000
2	2	6	0.000000
2	2	7	0.009105
2	2	8	0.000000
2	2	9	0.018209
2	2	10	0.717753
2	2	11	0.000000
2	2	12	0.000000
2	2	13	0.000000
2	2	14	0.018209
2	3	0	0.000000
2	3	1	0.000000
2	3	2	0.000000
2	3	3	0.000000
2	3	4	0.225000
2	3	5	0.000000
2	3	6	0.000000
2	3	7	0.583333
2	3	8	0.000000
2	3	9	0.000000
2	3	10	0.016667
2	3	11	0.000000
2	3	12	0.025000
2	3	13	0.025000
2	3	14	0.025000
2	3	15	0.008333
2	3	16	0.016667
2	3	17	0.008333
2	3	18	0.008333
2	3	19	0.016667
2	3	20	0.008333
2	3	21	0.016667
2	3	22	0.016667
2	4	0	0.000000
2	4	1	0.018081
2	4	2	0.000000
2	4	3	0.009040
2	4	4	0.000000
2	4	5	0.117525
2	4	6	0.000000
2	4	7	0.117525
2	4	8	0.000000
2	4	9	0.009040
2	4	10	0.000000
2	4	11	0.285932
2	4	12	0.000000
2	4	13	0.047744
2	4	14	0.000000
2	4	15	0.050639
2	4	16	0.000000
2	4	17	0.072323
2	4	18	0.000000
2	4	19	0.054574
2	4	20	0.027285
2	4	21	0.000000
2	4	22	0.027564
2	4	23	0.000000
2	4	24	0.063283
2	4	25	0.000000
2	4	26	0.018081
2	4	27	0.000000
2	4	28	0.000000
2	4	29	0.018081
2	4	30	0.000000
2	4	31	0.009040
2	4	32	0.036162
2	4	33	0.000000
2	4	34	0.000000
2	4	35	0.000000
2	4	36	0.000000
2	4	37	0.018081
2	5	0	0.000000
2	5	1	0.000000
2	5	2	0.315255
2	5	3	0.000000
2	5	4	0.000000
2	5	5	0.000000
2	5	6	0.300999
2	5	7	0.000000
2	5	8	0.037120
2	5	9	0.008404
2	5	10	0.008404
2	5	11	0.000000
2	5	12	0.075637
2	5	13	0.000000
2	5	14	0.000000
2	5	15	0.000000
2	5	16	0.000000
2	5	17	0.161735
2	5	18	0.008404
2	5	19	0.016808
2	5	20	0.000000
2	5	21	0.016808
2	5	22	0.000000
2	5	23	0.025212
2	5	24	0.025212
2	5	25	0.000000
2	6	0	0.000000
2	6	1	0.287568
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.480310
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.018090
2	6	8	0.000000
2	6	9	0.060774
2	6	10	0.000000
2	6	11	0.060558
2	6	12	0.092700
2	6	13	0.000000
2	7	0	0.000000
2	7	1	0.019405
2	7	2	0.000000
2	7	3	0.000000
2	7	4	0.325480
2	7	5	0.000000
2	7	6	0.000000
2	7	7	0.655115
2	7	8	0.000000
2	7	9	0.000000

