k	l	m	KLM
0	4	29	0.000000
0	4	30	0.000000
0	4	31	0.000000
0	4	32	0.000000
0	4	33	0.000000
0	4	34	0.000000
0	4	35	0.000000
0	4	36	0.000000
0	4	37	0.000000
0	5	0	0.000000
0	5	1	0.000000
0	5	2	0.000000
0	5	3	0.000000
0	5	4	0.000000
0	5	5	0.000000
0	5	6	0.270373
0	5	7	0.000000
0	5	8	0.049610
0	5	9	0.041243
0	5	10	0.000000
0	5	11	0.000000
0	5	12	0.000000
0	5	13	0.000000
0	5	14	0.000000
0	5	15	0.000000
0	5	16	0.000000
0	5	17	0.597532
0	5	18	0.041243
0	5	19	0.000000
0	5	20	0.000000
0	5	21	0.000000
0	5	22	0.000000
0	5	23	0.000000
0	5	24	0.000000
0	5	25	0.000000
0	6	0	0.000000
0	6	1	0.000000
0	6	2	0.000000
0	6	3	0.000000
0	6	4	0.132582
0	6	5	0.092461
0	6	6	0.000000
0	6	7	0.000000
0	6	8	0.000000
0	6	9	0.000000
0	6	10	0.000000
0	6	11	0.312651
0	6	12	0.462305
0	6	13	0.000000
0	7	0	0.000000
0	7	1	0.079355
0	7	2	0.000000
0	7	3	0.000000
0	7	4	0.649134
0	7	5	0.000000
0	7	6	0.000000
0	7	7	0.271511
0	7	8	0.000000
0	7	9	0.000000
1	0	0	0.000000
1	0	1	0.000000
1	0	2	0.000000
1	0	3	0.000000
1	0	4	0.000000
1	0	5	0.096394
1	0	6	0.000000
1	0	7	0.000000
1	0	8	0.000000
1	0	9	0.742721
1	0	10	0.000000
1	0	11	0.000000
1	0	12	0.049706
1	0	13	0.089927
1	0	14	0.021251
1	0	15	0.000000
1	1	0	0.000000
1	1	1	0.000000
1	1	2	0.000000
1	1	3	0.000000
1	1	4	0.473310
1	1	5	0.000000
1	1	6	0.000000
1	1	7	0.056346
1	1	8	0.000000
1	1	9	0.000000
1	1	10	0.000000
1	1	11	0.024328
1	1	12	0.000000
1	1	13	0.000000
1	1	14	0.355862
1	1	15	0.000000
1	1	16	0.090154
1	1	17	0.000000
1	1	18	0.000000
1	1	19	0.000000
1	1	20	0.000000
1	1	21	0.000000
1	1	22	0.000000
1	1	23	0.000000
1	1	24	0.000000
1	1	25	0.000000
1	1	26	0.000000
1	1	27	0.000000
1	1	28	0.000000
1	2	0	0.000000
1	2	1	0.056691
1	2	2	0.014173
1	2	3	0.000000
1	2	4	0.000000
1	2	5	0.000000
1	2	6	0.305940
1	2	7	0.000000
1	2	8	0.017185
1	2	9	0.000000
1	2	10	0.000000
1	2	11	0.000000
1	2	12	0.000000
1	2	13	0.606012
1	2	14	0.000000
1	3	0	0.000000
1	3	1	0.000000
1	3	2	0.000000
1	3	3	0.000000
1	3	4	0.000000
1	3	5	0.340890
1	3	6	0.000000
1	3	7	0.000000
1	3	8	0.659110
1	3	9	0.000000
1	3	10	0.000000
1	3	11	0.000000
1	3	12	0.000000
1	3	13	0.000000
1	3	14	0.000000
1	3	15	0.000000
1	3	16	0.000000
1	3	17	0.000000
1	3	18	0.000000
1	3	19	0.000000
1	3	20	0.000000
1	3	21	0.000000
1	3	22	0.000000
1	4	0	0.000000
1	4	1	0.000000
1	4	2	0.000000
1	4	3	0.000000
1	4	4	0.410417
1	4	5	0.000000
1	4	6	0.105914
1	4	7	0.000000
1	4	8	0.000000
1	4	9	0.000000
1	4	10	0.000000
1	4	11	0.000000
1	4	12	0.000000
1	4	13	0.000000
1	4	14	0.185350
1	4	15	0.000000
1	4	16	0.185350
1	4	17	0.000000
1	4	18	0.000000
1	4	19	0.000000
1	4	20	0.112969
1	4	21	0.000000
1	4	22	0.000000
1	4	23	0.000000
1	4	24	0.000000
1	4	25	0.000000
1	4	26	0.000000
1	4	27	0.000000
1	4	28	0.000000
1	4	29	0.000000
1	4	30	0.000000
1	4	31	0.000000
1	4	32	0.000000
1	4	33	0.000000
1	4	34	0.000000
1	4	35	0.000000
1	4	36	0.000000
1	4	37	0.000000
1	5	0	0.000000
1	5	1	0.000000
1	5	2	0.941445
1	5	3	0.000000
1	5	4	0.000000
1	5	5	0.000000
1	5	6	0.000000
1	5	7	0.000000
1	5	8	0.000000
1	5	9	0.000000
1	5	10	0.000000
1	5	11	0.058555
1	5	12	0.000000
1	5	13	0.000000
1	5	14	0.000000
1	5	15	0.000000
1	5	16	0.000000
1	5	17	0.000000
1	5	18	0.000000
1	5	19	0.000000
1	5	20	0.000000
1	5	21	0.000000
1	5	22	0.000000
1	5	23	0.000000
1	5	24	0.000000
1	5	25	0.000000
1	6	0	0.000000
1	6	1	0.161894
1	6	2	0.000000
1	6	3	0.000000
1	6	4	0.210794
1	6	5	0.000000
1	6	6	0.000000
1	6	7	0.187906
1	6	8	0.000000
1	6	9	0.407992
1	6	10	0.000000
1	6	11	0.031415
1	6	12	0.000000
1	6	13	0.000000
1	7	0	0.000000
1	7	1	0.046712
1	7	2	0.000000
1	7	3	0.000000
1	7	4	0.000000
1	7	5	0.000000
1	7	6	0.000000
1	7	7	0.953288
1	7	8	0.000000
1	7	9	0.000000
2	0	0	0.000000
2	0	1	0.000000
2	0	2	0.022143
2	0	3	0.000000
2	0	4	0.000000
2	0	5	0.000000
2	0	6	0.119976
2	0	7	0.000000
2	0	8	0.000000
2	0	9	0.000000
2	0	10	0.640785
2	0	11	0.000000
2	0	12	0.183882
2	0	13	0.000000
2	0	14	0.022143
2	0	15	0.011071
2	1	0	0.000000
2	1	1	0.000000
2	1	2	0.000000
2	1	3	0.000000
2	1	4	0.000000
2	1	5	0.000000
2	1	6	0.492376
2	1	7	0.000000
2	1	8	0.000000
2	1	9	0.046148
2	1	10	0.034611
2	1	11	0.000000
2	1	12	0.011537
2	1	13	0.080758
2	1	14	0.000000
2	1	15	0.046148
2	1	16	0.000000
2	1	17	0.265349
2	1	18	0.000000
2	1	19	0.000000
2	1	20	0.000000
2	1	21	0.000000
2	1	22	0.023074
2	1	23	0.000000
2	1	24	0.000000
2	1	25	0.000000
2	1	26	0.000000
2	1	27	0.000000
2	1	28	0.000000
2	2	0	0.000000
2	2	1	0.000000
2	2	2	0.000000
2	2	3	0.000000
2	2	4	0.153215
2	2	5	0.000000
2	2	6	0.000000
2	2	7	0.000000
2	2	8	0.000000
2	2	9	0.000000
2	2	10	0.846785
2	2	11	0.000000
2	2	12	0.000000
2	2	13	0.000000
2	2	14	0.000000
2	3	0	0.000000
2	3	1	0.000000
2	3	2	0.000000
2	3	3	0.000000
2	3	4	0.259217
2	3	5	0.000000
2	3	6	0.000000
2	3	7	0.729000
2	3	8	0.000000
2	3	9	0.000000
2	3	10	0.000000
2	3	11	0.000000
2	3	12	0.000000
2	3	13	0.000000
2	3	14	0.000000
2	3	15	0.000000
2	3	16	0.000000
2	3	17	0.000000
2	3	18	0.000000
2	3	19	0.000000
2	3	20	0.011783
2	3	21	0.000000
2	3	22	0.000000
2	4	0	0.000000
2	4	1	0.023358
2	4	2	0.000000
2	4	3	0.011679
2	4	4	0.000000
2	4	5	0.000000
2	4	6	0.000000
2	4	7	0.000000
2	4	8	0.000000
2	4	9	0.000000
2	4	10	0.000000
2	4	11	0.385402
2	4	12	0.000000
2	4	13	0.058394
2	4	14	0.000000
2	4	15	0.073291
2	4	16	0.000000
2	4	17	0.093431
2	4	18	0.000000
2	4	19	0.072581
2	4	20	0.035321
2	4	21	0.000000
2	4	22	0.036325
2	4	23	0.000000
2	4	24	0.081752
2	4	25	0.000000
2	4	26	0.023358
2	4	27	0.000000
2	4	28	0.000000
2	4	29	0.023358
2	4	30	0.000000
2	4	31	0.011679
2	4	32	0.046715
2	4	33	0.000000
2	4	34	0.000000
2	4	35	0.000000
2	4	36	0.000000
2	4	37	0.023358
2	5	0	0.000000
2	5	1	0.000000
2	5	2	0.403922
2	5	3	0.000000
2	5	4	0.000000
2	5	5	0.000000
2	5	6	0.250126
2	5	7	0.000000
2	5	8	0.043998
2	5	9	0.000000
2	5	10	0.011237
2	5	11	0.000000
2	5	12	0.101131
2	5	13	0.000000
2	5	14	0.000000
2	5	15	0.022474
2	5	16	0.000000
2	5	17	0.054744
2	5	18	0.000000
2	5	19	0.022474
2	5	20	0.000000
2	5	21	0.022474
2	5	22	0.000000
2	5	23	0.033710
2	5	24	0.033710
2	5	25	0.000000
2	6	0	0.000000
2	6	1	0.349578
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.553357
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.025895
2	6	8	0.000000
2	6	9	0.071170
2	6	10	0.000000
2	6	11	0.000000
2	6	12	0.000000
2	6	13	0.000000
2	7	0	0.000000
2	7	1	0.000000
2	7	2	0.000000
2	7	3	0.000000
2	7	4	0.244622
2	7	5	0.000000
2	7	6	0.000000
2	7	7	0.755378
2	7	8	0.000000
2	7	9	0.000000
3	0	0	0.000000
3	0	1	0.000000
3	0	2	0.063728
3	0	3	0.000000
3	0	4	0.000000
3	0	5	0.000000
3	0	6	0.087626
3	0	7	0.000000
3	0	8	0.049202
3	0	9	0.000000
3	0	10	0.526183
3	0	11	0.000000
3	0	12	0.273261
3	0	13	0.000000
3	0	14	0.000000
3	0	15	0.000000
3	1	0	0.000000
3	1	1	0.000000
3	1	2	0.000000
3	1	3	0.000000
3	1	4	0.000000
3	1	5	0.000000
3	1	6	0.000000
3	1	7	0.000000
3	1	8	0.042135
3	1	9	0.000000
3	1	10	0.000000
3	1	11	0.058219
3	1	12	0.000000
3	1	13	0.000000
3	1	14	0.177005
3	1	15	0.000000
3	1	16	0.000000
3	1	17	0.000000
3	1	18	0.000000
3	1	19	0.637025
3	1	20	0.068763
3	1	21	0.000000
3	1	22	0.000000
3	1	23	0.016854
3	1	24	0.000000
3	1	25	0.000000
3	1	26	0.000000
3	1	27	0.000000
3	1	28	0.000000
3	2	0	0.000000
3	2	1	0.000000
3	2	2	0.000000
3	2	3	0.000000
3	2	4	0.000000
3	2	5	0.000000
3	2	6	0.099987
3	2	7	0.000000
3	2	8	0.000000
3	2	9	0.000000
3	2	10	0.900013
3	2	11	0.000000
3	2	12	0.000000
3	2	13	0.000000
3	2	14	0.000000
3	3	0	0.000000
3	3	1	0.000000
3	3	2	0.000000
3	3	3	0.007973
3	3	4	0.000000
3	3	5	0.295898
3	3	6	0.000000
3	3	7	0.000000
3	3	8	0.664236
3	3	9	0.000000
3	3	10	0.000000
3	3	11	0.031893
3	3	12	0.000000
3	3	13	0.000000
3	3	14	0.000000
3	3	15	0.000000
3	3	16	0.000000
3	3	17	0.000000
3	3	18	0.000000
3	3	19	0.000000
3	3	20	0.000000
3	3	21	0.000000
3	3	22	0.000000
3	4	0	0.000000
3	4	1	0.000000
3	4	2	0.000000
3	4	3	0.000000
3	4	4	0.000000
3	4	5	0.000000
3	4	6	0.000000
3	4	7	0.000000
3	4	8	0.000000
3	4	9	0.000000
3	4	10	0.000000
3	4	11	0.125359
3	4	12	0.000000
3	4	13	0.033429
3	4	14	0.000000
3	4	15	0.166849
3	4	16	0.000000
3	4	17	0.192217
3	4	18	0.000000
3	4	19	0.048349
3	4	20	0.105151
3	4	21	0.000000
3	4	22	0.121562
3	4	23	0.008633
3	4	24	0.100287
3	4	25	0.000000
3	4	26	0.000000
3	4	27	0.000000
3	4	28	0.000000
3	4	29	0.000000
3	4	30	0.000000
3	4	31	0.000000
3	4	32	0.000000
3	4	33	0.000000
3	4	34	0.098164
3	4	35	0.000000
3	4	36	0.000000
3	4	37	0.000000
3	5	0	0.000000
3	5	1	0.000000
3	5	2	0.000000
3	5	3	0.437919
3	5	4	0.000000
3	5	5	0.000000
3	5	6	0.000000
3	5	7	0.285586
3	5	8	0.000000
3	5	9	0.024574
3	5	10	0.000000
3	5	11	0.000000
3	5	12	0.039811
3	5	13	0.000000
3	5	14	0.000000
3	5	15	0.071659
3	5	16	0.000000
3	5	17	0.084716
3	5	18	0.000000
3	5	19	0.000000
3	5	20	0.000000
3	5	21	0.000000
3	5	22	0.000000
3	5	23	0.000000
3	5	24	0.007962
3	5	25	0.047773
3	6	0	0.000000
3	6	1	0.324918
3	6	2	0.000000
3	6	3	0.008285
3	6	4	0.375149
3	6	5	0.000000
3	6	6	0.000000
3	6	7	0.065795
3	6	8	0.000000
3	6	9	0.225852
3	6	10	0.000000
3	6	11	0.000000
3	6	12	0.000000
3	6	13	0.000000
3	7	0	0.000000
3	7	1	0.000000
3	7	2	0.031100
3	7	3	0.000000
3	7	4	0.000000
3	7	5	0.086774
3	7	6	0.000000
3	7	7	0.000000
3	7	8	0.882125
3	7	9	0.000000
4	0	0	0.000000
4	0	1	0.017693
4	0	2	0.000000
4	0	3	0.000000
4	0	4	0.000000
4	0	5	0.115133
4	0	6	0.000000
4	0	7	0.048115
4	0	8	0.000000
4	0	9	0.472251
4	0	10	0.000000
4	0	11	0.000000
4	0	12	0.337472
4	0	13	0.000000
4	0	14	0.009336
4	0	15	0.000000
4	1	0	0.000000
4	1	1	0.000000
4	1	2	0.000000
4	1	3	0.000000
4	1	4	0.000000
4	1	5	0.041511
4	1	6	0.000000
4	1	7	0.000000
4	1	8	0.000000
4	1	9	0.000000
4	1	10	0.000000
4	1	11	0.123135
4	1	12	0.000000
4	1	13	0.000000
4	1	14	0.000000
4	1	15	0.000000
4	1	16	0.000000
4	1	17	0.000000
4	1	18	0.000000
4	1	19	0.506581
4	1	20	0.308017
4	1	21	0.000000
4	1	22	0.000000
4	1	23	0.000000
4	1	24	0.020756
4	1	25	0.000000
4	1	26	0.000000
4	1	27	0.000000
4	1	28	0.000000
4	2	0	0.000000
4	2	1	0.000000
4	2	2	0.000000
4	2	3	0.000000
4	2	4	0.000000
4	2	5	0.000000
4	2	6	0.072698
4	2	7	0.000000
4	2	8	0.000000
4	2	9	0.000000
4	2	10	0.000000
4	2	11	0.000000
4	2	12	0.000000
4	2	13	0.927302
4	2	14	0.000000
4	3	0	0.000000
4	3	1	0.000000
4	3	2	0.000000
4	3	3	0.000000
4	3	4	0.000000
4	3	5	0.442720
4	3	6	0.000000
4	3	7	0.000000
4	3	8	0.557280
4	3	9	0.000000
4	3	10	0.000000
4	3	11	0.000000
4	3	12	0.000000
4	3	13	0.000000
4	3	14	0.000000
4	3	15	0.000000
4	3	16	0.000000
4	3	17	0.000000
4	3	18	0.000000
4	3	19	0.000000
4	3	20	0.000000
4	3	21	0.000000
4	3	22	0.000000
4	4	0	0.000000
4	4	1	0.000000
4	4	2	0.000000
4	4	3	0.000000
4	4	4	0.000000
4	4	5	0.000000
4	4	6	0.000000
4	4	7	0.000000
4	4	8	0.000000
4	4	9	0.000000
4	4	10	0.537670
4	4	11	0.000000
4	4	12	0.203590
4	4	13	0.000000
4	4	14	0.000000
4	4	15	0.000000
4	4	16	0.000000
4	4	17	0.000000
4	4	18	0.000000
4	4	19	0.000000
4	4	20	0.068636
4	4	21	0.000000
4	4	22	0.117821
4	4	23	0.000000
4	4	24	0.000000
4	4	25	0.028241
4	4	26	0.000000
4	4	27	0.000000
4	4	28	0.000000
4	4	29	0.000000
4	4	30	0.014808
4	4	31	0.000000
4	4	32	0.000000
4	4	33	0.014120
4	4	34	0.000000
4	4	35	0.015113
4	4	36	0.000000
4	4	37	0.000000
4	5	0	0.000000
4	5	1	0.000000
4	5	2	0.209586
4	5	3	0.000000
4	5	4	0.030099
4	5	5	0.000000
4	5	6	0.363487
4	5	7	0.000000
4	5	8	0.162604
4	5	9	0.045148
4	5	10	0.000000
4	5	11	0.000000
4	5	12	0.000000
4	5	13	0.030099
4	5	14	0.016716
4	5	15	0.000000
4	5	16	0.067016
4	5	17	0.000000
4	5	18	0.000000
4	5	19	0.000000
4	5	20	0.015049
4	5	21	0.000000
4	5	22	0.060197
4	5	23	0.000000
4	5	24	0.000000
4	5	25	0.000000
4	6	0	0.000000
4	6	1	0.094677
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.732527
4	6	5	0.000000
4	6	6	0.000000
4	6	7	0.038167
4	6	8	0.000000
4	6	9	0.118385
4	6	10	0.000000
4	6	11	0.000000
4	6	12	0.000000
4	6	13	0.016243
4	7	0	0.000000
4	7	1	0.000000
4	7	2	0.000000
4	7	3	0.000000
4	7	4	0.311652
4	7	5	0.000000
4	7	6	0.015469
4	7	7	0.591528
4	7	8	0.000000
4	7	9	0.081351
5	0	0	0.000000
5	0	1	0.000000
5	0	2	0.000000
5	0	3	0.039808
5	0	4	0.039808
5	0	5	0.095137
5	0	6	0.000000
5	0	7	0.000000
5	0	8	0.032781
5	0	9	0.000000
5	0	10	0.689631
5	0	11	0.039808
5	0	12	0.063027
5	0	13	0.000000
5	0	14	0.000000
5	0	15	0.000000
5	1	0	0.000000
5	1	1	0.026725
5	1	2	0.000000
5	1	3	0.106902
5	1	4	0.000000
5	1	5	0.053451
5	1	6	0.000000
5	1	7	0.000000
5	1	8	0.000000
5	1	9	0.053451
5	1	10	0.000000
5	1	11	0.000000
5	1	12	0.000000
5	1	13	0.000000
5	1	14	0.224963
5	1	15	0.106902
5	1	16	0.000000
5	1	17	0.000000
5	1	18	0.320705
5	1	19	0.000000
5	1	20	0.000000
5	1	21	0.053451
5	1	22	0.000000
5	1	23	0.000000
5	1	24	0.000000
5	1	25	0.000000
5	1	26	0.000000
5	1	27	0.053451
5	1	28	0.000000
5	2	0	0.000000
5	2	1	0.000000
5	2	2	0.000000
5	2	3	0.000000
5	2	4	0.000000
5	2	5	0.212928
5	2	6	0.000000
5	2	7	0.000000
5	2	8	0.020959
5	2	9	0.000000
5	2	10	0.000000
5	2	11	0.180561
5	2	12	0.585552
5	2	13	0.000000
5	2	14	0.000000
5	3	0	0.000000
5	3	1	0.064121
5	3	2	0.064121
5	3	3	0.000000
5	3	4	0.160302
5	3	5	0.000000
5	3	6	0.224422
5	3	7	0.219374
5	3	8	0.139419
5	3	9	0.128241
5	3	10	0.000000
5	3	11	0.000000
5	3	12	0.000000
5	3	13	0.000000
5	3	14	0.000000
5	3	15	0.000000
5	3	16	0.000000
5	3	17	0.000000
5	3	18	0.000000
5	3	19	0.000000
5	3	20	0.000000
5	3	21	0.000000
5	3	22	0.000000
5	4	0	0.000000
5	4	1	0.000000
5	4	2	0.053524
5	4	3	0.000000
5	4	4	0.000000
5	4	5	0.000000
5	4	6	0.000000
5	4	7	0.000000
5	4	8	0.026762
5	4	9	0.000000
5	4	10	0.051453
5	4	11	0.000000
5	4	12	0.095859
5	4	13	0.053524
5	4	14	0.000000
5	4	15	0.180906
5	4	16	0.000000
5	4	17	0.000000
5	4	18	0.053524
5	4	19	0.000000
5	4	20	0.000000
5	4	21	0.107048
5	4	22	0.000000
5	4	23	0.025880
5	4	24	0.000000
5	4	25	0.000000
5	4	26	0.000000
5	4	27	0.053524
5	4	28	0.053524
5	4	29	0.000000
5	4	30	0.052221
5	4	31	0.000000
5	4	32	0.000000
5	4	33	0.000000
5	4	34	0.033561
5	4	35	0.051643
5	4	36	0.107048
5	4	37	0.000000
5	5	0	0.000000
5	5	1	0.029065
5	5	2	0.081833
5	5	3	0.000000
5	5	4	0.000000
5	5	5	0.058129
5	5	6	0.349699
5	5	7	0.120099
5	5	8	0.118491
5	5	9	0.026554
5	5	10	0.000000
5	5	11	0.000000
5	5	12	0.000000
5	5	13	0.000000
5	5	14	0.083976
5	5	15	0.000000
5	5	16	0.103090
5	5	17	0.000000
5	5	18	0.029065
5	5	19	0.000000
5	5	20	0.000000
5	5	21	0.000000
5	5	22	0.000000
5	5	23	0.000000
5	5	24	0.000000
5	5	25	0.000000
5	6	0	0.000000
5	6	1	0.000000
5	6	2	0.034483
5	6	3	0.000000
5	6	4	0.000000
5	6	5	0.586207
5	6	6	0.034483
5	6	7	0.000000
5	6	8	0.241379
5	6	9	0.000000
5	6	10	0.103448
5	6	11	0.000000
5	6	12	0.000000
5	6	13	0.000000
5	7	0	0.000000
5	7	1	0.043626
5	7	2	0.000000
5	7	3	0.025086
5	7	4	0.000000
5	7	5	0.121399
5	7	6	0.000000
5	7	7	0.000000
5	7	8	0.565527
5	7	9	0.244361

