k	l	m	KLM
0	0	0	0.000000
0	0	1	0.040856
0	0	2	0.000000
0	0	3	0.000000
0	0	4	0.000000
0	0	5	0.000000
0	0	6	0.053002
0	0	7	0.000000
0	0	8	0.000000
0	0	9	0.000000
0	0	10	0.671692
0	0	11	0.045554
0	0	12	0.188897
0	0	13	0.000000
0	0	14	0.000000
0	0	15	0.000000
0	1	0	0.000000
0	1	1	0.000000
0	1	2	0.082231
0	1	3	0.000000
0	1	4	0.000000
0	1	5	0.000000
0	1	6	0.095456
0	1	7	0.000000
0	1	8	0.000000
0	1	9	0.000000
0	1	10	0.000000
0	1	11	0.000000
0	1	12	0.000000
0	1	13	0.000000
0	1	14	0.000000
0	1	15	0.000000
0	1	16	0.000000
0	1	17	0.000000
0	1	18	0.000000
0	1	19	0.000000
0	1	20	0.000000
0	1	21	0.082231
0	1	22	0.000000
0	1	23	0.000000
0	1	24	0.000000
0	1	25	0.246694
0	1	26	0.452272
0	1	27	0.000000
0	1	28	0.041116
0	2	0	0.000000
0	2	1	0.000000
0	2	2	0.000000
0	2	3	0.215317
0	2	4	0.305489
0	2	5	0.000000
0	2	6	0.000000
0	2	7	0.043063
0	2	8	0.000000
0	2	9	0.086127
0	2	10	0.168447
0	2	11	0.095431
0	2	12	0.000000
0	2	13	0.000000
0	2	14	0.086127
0	3	0	0.000000
0	3	1	0.000000
0	3	2	0.041175
0	3	3	0.000000
0	3	4	0.000000
0	3	5	0.000000
0	3	6	0.000000
0	3	7	0.052975
0	3	8	0.000000
0	3	9	0.000000
0	3	10	0.082350
0	3	11	0.000000
0	3	12	0.123525
0	3	13	0.123525
0	3	14	0.123525
0	3	15	0.041175
0	3	16	0.082350
0	3	17	0.041175
0	3	18	0.041175
0	3	19	0.082350
0	3	20	0.000000
0	3	21	0.082350
0	3	22	0.082350
0	4	0	0.000000
0	4	1	0.000000
0	4	2	0.000000
0	4	3	0.000000
0	4	4	0.000000
0	4	5	0.481481
0	4	6	0.000000
0	4	7	0.481481
0	4	8	0.000000
0	4	9	0.037037
0	4	10	0.000000
0	4	11	0.000000
0	4	12	0.000000
0	4	13	0.000000
0	4	14	0.000000
0	4	15	0.000000
0	4	16	0.000000
0	4	17	0.000000
0	4	18	0.000000
0	4	19	0.000000
0	4	20	0.000000
0	4	21	0.000000
0	4	22	0.000000
0	4	23	0.000000
0	4	24	0.000000
0	4	25	0.000000
0	4	26	0.000000
0	4	27	0.000000
0	4	28	0.000000
