i	k	etaik
103	1	0.861060
103	2	0.000000
104	0	0.234897
104	1	0.665353
104	2	0.099750
105	0	0.123525
105	1	0.876475
105	2	0.000000
106	0	0.096555
106	1	0.903445
106	2	0.000000
107	0	0.000000
107	1	1.000000
107	2	0.000000
108	0	0.000000
108	1	1.000000
108	2	0.000000
109	0	0.000000
109	1	1.000000
109	2	0.000000
110	0	0.000000
110	1	1.000000
110	2	0.000000
111	0	0.000000
111	1	1.000000
111	2	0.000000
112	0	0.155125
112	1	0.844875
112	2	0.000000
113	0	0.000000
113	1	1.000000
113	2	0.000000
114	0	0.000000
114	1	1.000000
114	2	0.000000
115	0	0.000000
115	1	1.000000
115	2	0.000000
116	0	0.000000
116	1	1.000000
116	2	0.000000
117	0	0.000000
117	1	1.000000
117	2	0.000000
118	0	0.000000
118	1	1.000000
118	2	0.000000
119	0	0.000000
119	1	1.000000
119	2	0.000000
120	0	0.197462
120	1	0.802538
120	2	0.000000
121	0	0.000000
121	1	1.000000
121	2	0.000000
122	0	0.000000
122	1	1.000000
122	2	0.000000
123	0	0.143554
123	1	0.856446
123	2	0.000000
124	0	0.000000
124	1	1.000000
124	2	0.000000
125	0	0.000000
125	1	1.000000
125	2	0.000000
126	0	0.000000
126	1	1.000000
126	2	0.000000
127	0	0.000000
127	1	1.000000
127	2	0.000000
128	0	0.000000
128	1	1.000000
128	2	0.000000
129	0	0.000000
129	1	1.000000
129	2	0.000000
130	0	0.000000
130	1	1.000000
130	2	0.000000
131	0	0.000000
131	1	1.000000
131	2	0.000000
132	0	0.000000
132	1	1.000000
132	2	0.000000
133	0	0.000000
133	1	1.000000
133	2	0.000000
134	0	0.000009
134	1	0.999991
134	2	0.000000
135	0	0.000000
135	1	1.000000
135	2	0.000000
136	0	0.000000
136	1	1.000000
136	2	0.000000
137	0	0.000000
137	1	1.000000
137	2	0.000000
138	0	0.000000
138	1	0.853497
138	2	0.146503
139	0	0.000000
139	1	1.000000
139	2	0.000000
140	0	0.580819
140	1	0.352822
140	2	0.066359
141	0	0.611031
141	1	0.388969
141	2	0.000000
142	0	0.000000
142	1	0.708437
142	2	0.291563
143	0	0.280549
143	1	0.523532
143	2	0.195919
144	0	0.242846
144	1	0.583235
144	2	0.173920
145	0	0.378125
145	1	0.459545
145	2	0.162330
146	0	0.001631
146	1	0.815701
146	2	0.182668
147	0	0.592534
147	1	0.201514
147	2	0.205952
148	0	0.671792
148	1	0.328208
148	2	0.000000
149	0	0.000000
149	1	1.000000
149	2	0.000000
150	0	0.000000
150	1	1.000000
150	2	0.000000
151	0	0.172246
151	1	0.827754
151	2	0.000000
152	0	0.281042
152	1	0.619378
152	2	0.099580
153	0	0.000000
153	1	0.000000
153	2	1.000000
154	0	0.536497
154	1	0.347510
154	2	0.115993
155	0	1.000000
155	1	0.000000
155	2	0.000000
156	0	1.000000
156	1	0.000000
156	2	0.000000
157	0	0.604439
157	1	0.395561
157	2	0.000000
158	0	0.574977
158	1	0.425023
158	2	0.000000
159	0	1.000000
159	1	0.000000
159	2	0.000000
160	0	1.000000
160	1	0.000000
160	2	0.000000
161	0	0.651472
161	1	0.182995
161	2	0.165533
162	0	0.864942
162	1	0.135058
162	2	0.000000
163	0	1.000000
163	1	0.000000
163	2	0.000000
164	0	1.000000
164	1	0.000000
164	2	0.000000
165	0	1.000000
165	1	0.000000
165	2	0.000000
166	0	1.000000
166	1	0.000000
166	2	0.000000
167	0	0.800500
167	1	0.199500
167	2	0.000000
168	0	1.000000
168	1	0.000000
168	2	0.000000
169	0	1.000000
169	1	0.000000
169	2	0.000000
170	0	1.000000
170	1	0.000000
170	2	0.000000
171	0	1.000000
171	1	0.000000
171	2	0.000000
172	0	1.000000
172	1	0.000000
172	2	0.000000
173	0	1.000000
173	1	0.000000
173	2	0.000000
174	0	1.000000
174	1	0.000000
174	2	0.000000
175	0	0.000000
175	1	0.000000
175	2	0.000000
176	0	0.000000
176	1	0.000000
176	2	0.000000
177	0	0.000000
177	1	0.000000
177	2	1.000000
178	0	0.000000
178	1	0.000000
178	2	1.000000
179	0	0.115267
179	1	0.000000
179	2	0.884733
180	0	0.000000
180	1	0.000000
180	2	1.000000
181	0	0.000000
181	1	0.000000
181	2	1.000000
182	0	0.000000
182	1	0.000000
182	2	1.000000
183	0	0.000000
183	1	0.000000
183	2	1.000000
184	0	0.000015
184	1	0.000000
184	2	0.999985
185	0	0.000000
185	1	0.000000
185	2	1.000000
186	0	0.000000
186	1	0.000000
186	2	1.000000
187	0	0.000000
187	1	0.000000
187	2	1.000000
188	0	0.000000
188	1	0.000000
188	2	1.000000
189	0	0.000000
189	1	0.000000
189	2	1.000000
190	0	0.000000
190	1	0.000000
190	2	1.000000
191	0	0.000000
191	1	0.000000
191	2	1.000000
192	0	0.000000
192	1	0.000000
192	2	1.000000
193	0	0.000000
193	1	0.000000
193	2	1.000000
194	0	0.000000
194	1	0.000000
194	2	1.000000
195	0	0.000000
195	1	0.000000
195	2	1.000000
196	0	0.000000
196	1	0.000000
196	2	1.000000
197	0	0.000000
197	1	0.000000
197	2	1.000000
198	0	0.000000
198	1	0.000000
198	2	1.000000
199	0	0.000000
199	1	0.000000
199	2	1.000000
200	0	0.000000
200	1	0.000000
200	2	1.000000
201	0	0.000000
201	1	0.173867
201	2	0.826133
202	0	0.000000
202	1	0.000000
202	2	0.000000
203	0	0.000000
203	1	0.833333
203	2	0.166667
204	0	0.309072
204	1	0.559587
204	2	0.131341
205	0	0.000000
205	1	1.000000
205	2	0.000000
206	0	0.068410
206	1	0.709493
206	2	0.222097
207	0	0.114289
207	1	0.748292
207	2	0.137420
208	0	0.456932
208	1	0.543068
208	2	0.000000
209	0	0.400000
209	1	0.600000
209	2	0.000000
210	0	0.170189
210	1	0.471079
210	2	0.358732
211	0	0.700874
211	1	0.299017
211	2	0.000109

