i	k	etaik
103	1	0.724597
103	2	0.144973
104	0	0.488993
104	1	0.277584
104	2	0.233422
105	0	0.464565
105	1	0.366612
105	2	0.168824
106	0	0.130946
106	1	0.716012
106	2	0.153042
107	0	0.455679
107	1	0.248443
107	2	0.295877
108	0	0.000000
108	1	1.000000
108	2	0.000000
109	0	0.000000
109	1	0.888569
109	2	0.111431
110	0	0.466108
110	1	0.533892
110	2	0.000000
111	0	0.266987
111	1	0.272857
111	2	0.460156
112	0	0.405849
112	1	0.483629
112	2	0.110522
113	0	0.785163
113	1	0.214837
113	2	0.000000
114	0	0.000000
114	1	0.741254
114	2	0.258746
115	0	0.356829
115	1	0.094814
115	2	0.548357
116	0	0.036571
116	1	0.574955
116	2	0.388473
117	0	0.000000
117	1	1.000000
117	2	0.000000
118	0	0.580365
118	1	0.419635
118	2	0.000000
119	0	0.412163
119	1	0.367826
119	2	0.220011
120	0	0.126233
120	1	0.632981
120	2	0.240787
121	0	0.246397
121	1	0.625382
121	2	0.128221
122	0	0.618440
122	1	0.381560
122	2	0.000000
123	0	0.226795
123	1	0.475472
123	2	0.297733
124	0	0.265899
124	1	0.433501
124	2	0.300600
125	0	0.335548
125	1	0.524506
125	2	0.139947
126	0	0.023720
126	1	0.288668
126	2	0.687612
127	0	0.267085
127	1	0.732915
127	2	0.000000
128	0	0.264772
128	1	0.721368
128	2	0.013860
129	0	0.197533
129	1	0.689499
129	2	0.112968
130	0	0.213375
130	1	0.525371
130	2	0.261254
131	0	0.158891
131	1	0.634030
131	2	0.207079
132	0	0.362576
132	1	0.353665
132	2	0.283759
133	0	0.342094
133	1	0.127354
133	2	0.530552
134	0	0.339924
134	1	0.660076
134	2	0.000000
135	0	0.400084
135	1	0.583739
135	2	0.016177
136	0	0.350737
136	1	0.649263
136	2	0.000000
137	0	0.344479
137	1	0.390512
137	2	0.265009
138	0	0.303280
138	1	0.696720
138	2	0.000000
139	0	0.192152
139	1	0.654291
139	2	0.153558
140	0	0.647134
140	1	0.352866
140	2	0.000000
141	0	0.482372
141	1	0.517628
141	2	0.000000
142	0	0.564938
142	1	0.435062
142	2	0.000000
143	0	0.080812
143	1	0.463742
143	2	0.455446
144	0	0.406801
144	1	0.408086
144	2	0.185113
145	0	0.560424
145	1	0.439576
145	2	0.000000
146	0	0.346794
146	1	0.653206
146	2	0.000000
147	0	0.420401
147	1	0.255915
147	2	0.323685
148	0	0.260063
148	1	0.599252
148	2	0.140685
149	0	0.178847
149	1	0.424039
149	2	0.397114
150	0	0.194623
150	1	0.564075
150	2	0.241302
151	0	0.618886
151	1	0.082831
151	2	0.298283
152	0	0.429027
152	1	0.570973
152	2	0.000000
153	0	0.756507
153	1	0.205942
153	2	0.037551
154	0	0.507491
154	1	0.373544
154	2	0.118965
155	0	0.634319
155	1	0.147823
155	2	0.217859
156	0	0.575000
156	1	0.072344
156	2	0.352656
157	0	0.741912
157	1	0.166275
157	2	0.091813
158	0	0.591694
158	1	0.267691
158	2	0.140616
159	0	0.733994
159	1	0.266006
159	2	0.000000
160	0	0.400545
160	1	0.346214
160	2	0.253241
161	0	0.484674
161	1	0.515326
161	2	0.000000
162	0	0.576312
162	1	0.299579
162	2	0.124109
163	0	0.170042
163	1	0.829958
163	2	0.000000
164	0	0.681042
164	1	0.000000
164	2	0.318958
165	0	0.424122
165	1	0.460779
165	2	0.115100
166	0	0.456207
166	1	0.427972
166	2	0.115821
167	0	0.270696
167	1	0.448051
167	2	0.281252
168	0	0.409386
168	1	0.199783
168	2	0.390831
169	0	0.366365
169	1	0.376292
169	2	0.257343
170	0	0.318967
170	1	0.528542
170	2	0.152490
171	0	0.350090
171	1	0.128680
171	2	0.521229
172	0	0.484596
172	1	0.097846
172	2	0.417558
173	0	0.297432
173	1	0.272423
173	2	0.430146
174	0	0.238556
174	1	0.761444
174	2	0.000000
175	0	0.355404
175	1	0.074214
175	2	0.570382
176	0	0.543994
176	1	0.330715
176	2	0.125291
177	0	0.668072
177	1	0.048943
177	2	0.282985
178	0	0.244027
178	1	0.498601
178	2	0.257372
179	0	0.312746
179	1	0.000000
179	2	0.687254
180	0	0.257357
180	1	0.284773
180	2	0.457870
181	0	0.533550
181	1	0.118871
181	2	0.347580
182	0	0.436823
182	1	0.000000
182	2	0.563177
183	0	0.454291
183	1	0.000000
183	2	0.545709
184	0	0.285198
184	1	0.354779
184	2	0.360023
185	0	1.000000
185	1	0.000000
185	2	0.000000
186	0	0.430014
186	1	0.000000
186	2	0.569986
187	0	0.391499
187	1	0.129623
187	2	0.478878
188	0	0.321729
188	1	0.394238
188	2	0.284033
189	0	0.520683
189	1	0.346137
189	2	0.133181
190	0	0.545998
190	1	0.203512
190	2	0.250490
191	0	0.714521
191	1	0.000000
191	2	0.285479
192	0	0.460489
192	1	0.451605
192	2	0.087906
193	0	0.535099
193	1	0.464901
193	2	0.000000
194	0	0.415750
194	1	0.099702
194	2	0.484547
195	0	0.487895
195	1	0.275389
195	2	0.236716
196	0	0.371683
196	1	0.000000
196	2	0.628317
197	0	0.335343
197	1	0.268245
197	2	0.396412
198	0	0.146965
198	1	0.332852
198	2	0.520184
199	0	0.713264
199	1	0.084163
199	2	0.202573

